ABCD1 	 NP_000024.2 	 sequence length: 745
F7 	 XP_011535778.1 	 sequence length: 364
F7 	 XP_047286081.1 	 sequence length: 452
F8 	 NP_000123.1 	 sequence length: 2351
F8 	 NP_063916.1 	 sequence length: 216
F9 	 NP_000124.1 	 sequence length: 461
F9 	 NP_001300842.1 	 sequence length: 423
F9 	 XP_005262454.1 	 sequence length: 418
F9 	 XP_054182657.1 	 sequence length: 418
G6PD 	 NP_000393.4 	 sequence length: 545
G6PD 	 NP_001035810.1 	 sequence length: 515
GALT 	 NP_000146.2 	 sequence length: 379
GALT 	 NP_001245261.1 	 sequence length: 270
GALT 	 NP_919299.3 	 sequence length: 498
GALT 	 XP_006719831.1 	 sequence length: 479
GALT 	 XP_011533238.1 	 sequence length: 458
GALT 	 XP_011533240.1 	 sequence length: 449
GALT 	 XP_047286067.1 	 sequence length: 298
GBA1 	 NP_000148.2 	 sequence length: 536
GBA1 	 NP_001165282.1 	 sequence length: 449
GBA1 	 NP_001165283.1 	 sequence length: 487
GJB1 	 NP_000157.1 	 sequence length: 283
HBB 	 NP_000509.1 	 sequence length: 147
HPRT1 	 NP_000185.1 	 sequence length: 218
IL2RG 	 NP_000197.1 	 sequence length: 369
IL2RG 	 NP_001425799.1 	 sequence length: 260
KCNH2 	 NP_000229.1 	 sequence length: 1159
KCNH2 	 NP_001191727.1 	 sequence length: 548
KCNH2 	 NP_001393682.1 	 sequence length: 1063
KCNH2 	 NP_001393684.1 	 sequence length: 829
KCNH2 	 NP_001393685.1 	 sequence length: 792
KCNH2 	 NP_001393686.1 	 sequence length: 788
KCNH2 	 NP_742053.1 	 sequence length: 888
KCNH2 	 NP_742054.1 	 sequence length: 819
KCNH2 	 XP_011514487.1 	 sequence length: 1059
KCNH2 	 XP_016867684.1 	 sequence length: 1109
KCNH2 	 XP_016867685.1 	 sequence length: 1100
KCNH2 	 XP_047276304.1 	 sequence length: 1185
KCNH2 	 XP_047276305.1 	 sequence length: 936
KCNQ1 	 NP_000209.2 	 sequence length: 676
KCNQ1 	 NP_001393765.1 	 sequence length: 644
KCNQ1 	 NP_001393766.1 	 sequence length: 586
KCNQ1 	 NP_001393767.1 	 sequence length: 496
KCNQ1 	 NP_001393768.1 	 sequence length: 180
KCNQ1 	 NP_861463.1 	 sequence length: 549
L1CAM 	 NP_000416.1 	 sequence length: 1257
L1CAM 	 NP_001137435.1 	 sequence length: 1248
L1CAM 	 NP_076493.1 	 sequence length: 1253
LDLR 	 NP_000518.1 	 sequence length: 860
LDLR 	 NP_001182727.1 	 sequence length: 858
LDLR 	 NP_001182728.1 	 sequence length: 819
LDLR 	 NP_001182729.1 	 sequence length: 692
LDLR 	 NP_001182732.1 	 sequence length: 682
LDLR 	 NP_001393790.1 	 sequence length: 202
LDLR 	 XP_011526312.1 	 sequence length: 834
LDLR 	 XP_047294787.1 	 sequence length: 596
MPZ 	 NP_000521.2 	 sequence length: 248
MPZ 	 NP_001302420.1 	 sequence length: 312
MPZ 	 XP_016856810.1 	 sequence length: 240
MYH7 	 NP_000248.2 	 sequence length: 1935
TYR 	 NP_000363.1 	 sequence length: 529
TYR 	 XP_011541272.1 	 sequence length: 471
TYR 	 XP_054225790.1 	 sequence length: 471
PAH 	 NP_000268.1 	 sequence length: 452
PAH 	 XP_016874859.1 	 sequence length: 240
PMM2 	 NP_000294.1 	 sequence length: 246
PMM2 	 XP_047290171.1 	 sequence length: 163
RHO 	 NP_000530.1 	 sequence length: 348
RHO 	 NP_001287815.1 	 sequence length: 144
RHO 	 NP_055393.1 	 sequence length: 210
TP53 	 NP_000537.3 	 sequence length: 393
TP53 	 NP_001119585.1 	 sequence length: 346
TP53 	 NP_001119586.1 	 sequence length: 341
TP53 	 NP_001119587.1 	 sequence length: 261
TP53 	 NP_001119588.1 	 sequence length: 209
TP53 	 NP_001119589.1 	 sequence length: 214
TP53 	 NP_001119590.1 	 sequence length: 354
TP53 	 NP_001263624.1 	 sequence length: 307
TP53 	 NP_001263625.1 	 sequence length: 302
TP53 	 NP_001263626.1 	 sequence length: 234
TP53 	 NP_001263627.1 	 sequence length: 182
TP53 	 NP_001263628.1 	 sequence length: 187
TTR 	 NP_000362.1 	 sequence length: 147
VWF 	 NP_000543.3 	 sequence length: 2813
VWF 	 XP_054229108.1 	 sequence length: 2813
