gene	transcript	protein	changes
FKRP	NM_024301.5	NP_001034974.1	119
FLCN	NM_144997.7	NP_001340159.1	156
FRAS1	NM_025074.7	NP_079350.5	180
G6PD	NM_000402.4	NP_000393.4	42
G6PD	NM_001360016.2	NP_001035810.1	164
G6PD	NM_001042351.3	NP_001035810.1	1
GAA	NM_000152.5	NP_000143.2	451
GALC	NM_000153.4	NP_000144.2	233
GALNS	NM_000512.5	NP_000503.1	222
GALT	NM_000155.4	NP_000146.2	247
GBA1	NM_000157.4	NP_000148.2	293
GBE1	NM_000158.4	NP_000149.4	121
GCDH	NM_000159.4	NP_000150.1	257
GJB1	NM_000166.6	NP_000157.1	200
GJB1	NM_001097642.3	NP_000157.1	1
GLB1	NM_000404.4	NP_000395.3	229
GNE	NM_001128227.3	NP_001121699.1	4
GNE	NM_005476.7	NP_005467.1	133
GNPTAB	NM_024312.5	NP_077288.2	195
HBB	NM_000518.4	NP_000509.1	33
HBB	NM_000518.5	NP_000509.1	141
HEXA	NM_000520.6	NP_000511.2	207
HEXB	NM_000521.4	NP_000512.2	103
HGD	NM_000187.4	NP_000178.2	203
HGSNAT	NM_152419.3	NP_689632.2	113
HMBS	NM_000190.4	NP_000181.2	108
HPRT1	NM_000194.3	NP_000185.1	61
HPRT1	NM_000194.2	NP_000185.1	9
HPS3	NM_032383.5	NP_115759.2	122
IL2RG	NM_000206.3	NP_000197.1	113
ITGA2B	NM_000419.5	NP_000410.2	165
IVD	NM_002225.5	NP_002216.3	107
KCNH2	NM_000238.4	NP_000229.1	320
KCNQ1	NM_000218.3	NP_000209.2	365
KRIT1	NM_194454.3	NP_001337601.1	156
L1CAM	NM_001278116.2	NP_000416.1	146
LDLR	NM_000527.5	NP_000518.1	1087
LDLR	NM_000527.4	NP_000518.1	6
LIPA	NM_000235.4	NP_000226.2	102
LOXHD1	NM_001384474.1	NP_001371403.1	253
LPL	NM_000237.3	NP_000228.1	115
LRPPRC	NM_133259.4	NP_573566.2	169
LYST	NM_000081.4	NP_000072.2	150
MAN2B1	NM_000528.4	NP_000519.2	187
MCCC1	NM_020166.5	NP_064551.3	107
MCCC2	NM_022132.5	NP_071415.1	133
MED13L	NM_015335.5	NP_056150.1	149
MFN2	NM_014874.4	NP_001121132.1	162
MKS1	NM_017777.4	NP_060247.2	107
MMUT	NM_000255.4	NP_000246.2	288
MPZ	NM_000530.8	NP_000521.2	143
MSH2	NM_000251.3	NP_000242.1	614
MTHFR	NM_005957.5	NP_005948.3	130
MUTYH	NM_001128425.2	NP_001121897.1	5
MUTYH	NM_001048174.2	NP_001041636.2	207
MYH7	NM_000257.4	NP_000248.2	406
NAGLU	NM_000263.4	NP_000254.2	183
NF1	NM_001042492.3	NP_001035957.1	1881
NF2	NM_000268.4	NP_000259.1	161
NIPBL	NM_133433.4	NP_597677.2	309
NPC1	NM_000271.5	NP_000262.2	361
NSD1	NM_022455.5	NP_001396230.1	365
OCA2	NM_000275.3	NP_000266.2	199
OPA1	NM_130837.3	NP_570850.2	210
PAH	NM_000277.3	NP_000268.1	689
PALB2	NM_024675.4	NP_078951.2	390
PAX3	NM_181457.3	NP_852122.1	1
PAX3	NM_181458.4	NP_852123.1	125
PAX6	NM_001368894.2	NP_001245391.1	226
PAX6	NM_000280.6	NP_000271.1	1
PCDH15	NM_033056.4	NP_149045.3	9
PCDH15	NM_001384140.1	NP_001371069.1	196
PCNT	NM_006031.6	NP_006022.3	188
PKHD1	NM_138694.4	NP_619639.3	786
PMM2	NM_000303.3	NP_000294.1	173
POMGNT1	NM_017739.4	NP_001424582.1	139
PRPF31	NM_015629.4	NP_056444.3	117
PYGM	NM_005609.4	NP_005600.1	157
RAD50	NM_005732.4	NP_005723.2	210
RARS2	NM_020320.5	NP_064716.2	140
RECQL4	NM_004260.4	NP_004251.4	180
RHO	NM_000539.3	NP_000530.1	173
RP1	NM_001375654.1	NP_001362583.1	1
RP1	NM_006269.2	NP_006260.1	128
RPGRIP1L	NM_015272.5	NP_056087.2	178
SACS	NM_014363.6	NP_055178.3	339
SATB2	NM_001172509.2	NP_001165980.1	116
SATB2	NM_001172517.1	NP_001165980.1	1
SCN4A	NM_000334.4	NP_000325.4	135
SERPING1	NM_000062.3	NP_000053.2	200
SGSH	NM_000199.5	NP_000190.1	124
SI	NM_001041.4	NP_001032.2	103
SLC12A6	NM_001365088.1	NP_001352017.1	116
SLC25A13	NM_014251.3	NP_055066.1	118
SLC26A4	NM_000441.2	NP_000432.1	438
SMPD1	NM_000543.5	NP_000534.3	225
SPAST	NM_014946.4	NP_055761.2	354
SPG11	NM_025137.4	NP_079413.3	236
SYNE1	NM_182961.4	NP_892006.3	233
SYNE1	NM_001347702.2	NP_001334631.1	2
TCIRG1	NM_006019.4	NP_001427481.1	135
TMC1	NM_138691.3	NP_619636.2	118
TMEM67	NM_153704.6	NP_714915.3	162
TP53	NM_000546.6	NP_000537.3	414
TPP1	NM_000391.4	NP_000382.3	131
TSC1	NM_000368.5	NP_000359.1	281
TTR	NM_000371.4	NP_000362.1	130
TYR	NM_000372.5	NP_000363.1	237
UNC13D	NM_199242.3	NP_954712.1	105
USH1C	NM_153676.4	NP_710142.1	107
USH1C	NM_005709.4	NP_005700.2	5
USH2A	NM_206933.4	NP_996816.3	1202
VHL	NM_000551.4	NP_000542.1	235
VPS13A	NM_033305.3	NP_150648.2	242
VPS13B	NM_152564.5	NP_689777.3	466
VPS13B	NM_017890.5	NP_060360.3	8
VWF	NM_000552.5	NP_000543.3	310
WFS1	NM_006005.3	NP_001139325.1	154
WRN	NM_000553.6	NP_000544.2	220
WT1	NM_024426.6	NP_077744.4	102
XPC	NM_004628.5	NP_004619.3	108
ZEB2	NM_014795.4	NP_055610.1	159
ZFYVE26	NM_015346.4	NP_056161.2	211
